ensembl_gene_id,sgd_name,mean_abundance,mpl_color
YOR096W,RPS7A,202553.259125011,tab:grey
YKL182W,fas1,94906.63,tab:blue
YGR234W,yhb1,62330.51,tab:blue
YKL216W,ura1,54471.87,tab:blue
YDR032C,pst2,53732.7,tab:blue
YDR353W,trr1,51642.56,tab:blue
YMR108W,ilv2,37533.41,tab:blue
YHR179W,oye2,37036.05,tab:blue
YEL071W,dld3,28560.12,tab:blue
YBR035C,pdx3,25915.68,tab:blue
YGR175C,erg1,25838.68,tab:blue
YFL018C,lpd1,24993.31,tab:blue
YML120C,ndi1,21259.18,tab:blue
YGL148W,aro2,21116.82,tab:blue
YDL171C,glt1,16682.72,tab:blue
YCR004C,ycp4,15017.82,tab:blue
YML086C,alo1,14058.29,tab:blue
YIL043C,cbr1,13963.08,tab:blue
YHR042W,ncp1,13890.49,tab:blue
YPL091W,glr1,13694.58,tab:blue
YPR048W,tah18,12797.24,tab:blue
YMR145C,nde1,12631.87,tab:blue
YJR137C,met5,11812.03,tab:blue
YML054C,cyb2,10577.3,tab:blue
YKL148C,sdh1,10165.34,tab:blue
YPR004C,aim45,9993.11,tab:blue
YML125C,pga3,9745.49,tab:blue
YBR052C,rfs1,9652.34,tab:blue
YDL174C,dld1,9348.43,tab:blue
YJL045W,sdh1b,8958.26,tab:blue
YDL178W,dld2,7520.51,tab:blue
YGR255C,coq6,7480.72,tab:blue
YIL155C,gut2,7363.39,tab:blue
YGL125W,met13,6669.21,tab:blue
YOR356W,cir2,5822.44,tab:blue
YML130C,ero1,5679.61,tab:blue
YER014W,hem14,4991.2,tab:blue
YPL207W,tyw1,4713.95,tab:blue
YPL023C,met12,4544.07,tab:blue
YLR401C,dus3,4385.42,tab:blue
YGR029W,erv1,4215.27,tab:blue
YOL071W,emi5,3531.96,tab:blue
YBL098W,bna4,3369.6,tab:blue
YKL088W,cab3,3120.73,tab:blue
YLR214W,fre1,3006.02,tab:blue
YHR106W,trr2,2897.99,tab:blue
YNR015W,dus2,2740.32,tab:blue
YML080W,dus1,2670.59,tab:blue
YPR037C,erv2,2626.7,tab:blue
YNR074C,aif1,2512.86,tab:blue
YGL205W,pox1,2488.91,tab:blue
YLR011W,lot6,2340.2,tab:blue
YPL171C,oye3,2339.79,tab:blue
YLR142W,put1,2280.76,tab:blue
YOR384W,fre5,2212,tab:blue
YPL017C,irc15,2189.22,tab:blue
YLL051C,fre6,2117.48,tab:blue
YLR405W,dus4,2094.39,tab:blue
YMR020W,fms1,1862.64,tab:blue
YDL085W,nde2,1334.63,tab:blue
YOR037W,cyc2,1284.41,tab:blue
YNR060W,fre4,1140.96,tab:blue
YGL160W,aim14,1108.62,tab:blue
YGL236C,mto1,1016.05,tab:blue
YOR386W,phr1,931.5,tab:blue
YLR047C,fre8,727.63,tab:blue
YHR176W,fmo1,531.45,tab:blue
YOL152W,fre7,120.35,tab:blue
YKL220C,fre2,0,tab:blue
YOR381W,fre3,0,tab:blue
