ensembl_gene_id,sgd_name,mean_abundance
YOR096W,RPS7A,202553.259125011
YER131W,RPS26B,193308.728270977
YHL033C,RPL8A,188027.725172474
YGL189C,RPS26A,181591.823582021
YMR194W,RPL36A,168796.393759316
YPL249C-A,RPL36B,166460.477573861
YLR061W,RPL22A,165100.575233263
YDL075W,RPL31A,162099.175786407
YGL123W,RPS2,152569.093462461
YLR048W,RPS0B,144553.655172364
YGL135W,RPL1B,143091.029517684
YBR189W,RPS9B,139551.085371561
YDR450W,RPS18A,130570.403566141
YBL027W,RPL19B,128106.734538452
YJL189W,RPL39,126124.275762135
YJR123W,RPS5,123613.527354723
YHL015W,RPS20,119954.707232184
YNL067W,RPL9B,119514.146691098
YDR064W,RPS13,118213.173693874
YDR471W,RPL27B,115903.957558182
YGR214W,RPS0A,115555.922465466
YLL045C,RPL8B,112665.085086851
YDR447C,RPS17B,107682.457861638
YJL136C,RPS21B,103725.978421623
YML024W,RPS17A,103341.742326796
YOL127W,RPL25,103276.001549257
YJR145C,RPS4A,103019.947203113
YHR203C,RPS4B,102689.463035574
YGL147C,RPL9A,102286.114591693
YNL178W,RPS3,102188.038164805
YPR043W,RPL43A,101502.123239749
YBR084C-A,RPL19A,99641.2598992915
YDL133C-A,RPL41B,96975.6242316985
YPL131W,RPL5,96389.5725198535
YDL184C,RPL41A,95917.0164990013
YDR418W,RPL12B,95906.0822373617
YML026C,RPS18B,95177.4291776735
YOL040C,RPS15,94003.6574268233
YBL072C,RPS8A,92966.3117808982
YML063W,RPS1B,92874.5903189577
YOR369C,RPS12,92317.1413685299
YOR063W,RPL3,89802.6530037656
YDR025W,RPS11A,89415.0516576568
YGR085C,RPL11B,89251.6744273272
YMR230W,RPS10B,88876.1819913557
YLR441C,RPS1A,88136.5118430906
YLR075W,RPL10,85701.4628091477
YIL069C,RPS24B,84963.6326786192
YGR034W,RPL26B,83116.0947855977
YGL103W,RPL28,83111.2564382445
YOR293W,RPS10A,82701.8357870556
YGR027C,RPS25A,82158.9696952877
YBR031W,RPL4A,81725.3289211434
YPL081W,RPS9A,81059.7468705843
YGL076C,RPL7A,80549.2271225235
YFR032C-A,RPL29,80524.7325257873
YKL006W,RPL14A,80322.7810854157
YKR057W,RPS21A,80034.6818977604
YOL120C,RPL18A,79537.2063054108
YMR142C,RPL13B,79526.9205568074
YBR048W,RPS11B,78264.6277016982
YPL143W,RPL33A,75015.303536376
YGL031C,RPL24A,74903.4883895608
YDL191W,RPL35A,74545.2690011997
YGL030W,RPL30,74292.3894038079
YIL018W,RPL2B,73553.5975961326
YLR367W,RPS22B,73223.4225390366
YNL302C,RPS19B,73145.9195026097
YPL090C,RPS6A,72525.9498838081
YMR143W,RPS16A,71760.1668519993
YLR325C,RPL38,70481.0019294955
YCR031C,RPS14A,68873.5356426167
YER102W,RPS8B,66389.4882872063
YBL092W,RPL32,66342.1518594004
YHR021C,RPS27B,66307.9249643615
YLR344W,RPL26A,66121.0190534372
YER074W,RPS24A,65998.1045164351
YPL198W,RPL7B,64248.0725425178
YNL069C,RPL16B,64232.5955503544
YNL096C,RPS7B,64051.3225432608
YPL220W,RPL1A,63389.7514822405
YKL180W,RPL17A,62827.6901500844
YDL136W,RPL35B,62112.7156744285
YLR029C,RPL15A,61326.7944825596
YBR191W,RPL21A,61140.1539018948
YGR148C,RPL24B,60841.949065125
YHR010W,RPL27A,59677.3241889096
YLR333C,RPS25B,58577.0638293106
YOL121C,RPS19A,58515.3229170748
YLR167W,RPS31,58390.6607426261
YKL156W,RPS27A,58361.2816921814
YEL054C,RPL12A,58078.8121352894
YOR167C,RPS28A,57906.5627548602
YLR264W,RPS28B,55857.0254931312
YER056C-A,RPL34A,55699.5923571495
YIL052C,RPL34B,55467.2111179194
YHL001W,RPL14B,53748.0707165599
YOR234C,RPL33B,53361.6871384878
YJL190C,RPS22A,53336.3115261983
YLR448W,RPL6B,51636.4491049975
YPR102C,RPL11A,51004.5214402657
YFR031C-A,RPL2A,50517.1345125652
YMR242C,RPL20A,50252.8939307966
YPL079W,RPL21B,50204.4421322794
YDL082W,RPL13A,50041.3803829854
YDL083C,RPS16B,49721.1904970039
YNL301C,RPL18B,49430.4973488217
YOR312C,RPL20B,47964.1979174461
YDR012W,RPL4B,47465.8697865805
YPR132W,RPS23B,47016.1951123165
YOR182C,RPS30B,46299.8429308552
YGR118W,RPS23A,45213.4471050824
YML073C,RPL6A,44425.8816858058
YLR185W,RPL37A,42091.503015563
YJL177W,RPL17B,39457.4683893067
YLR287C-A,RPS30A,38135.393633987
YNL162W,RPL42A,37748.6246729201
YDL061C,RPS29B,36363.6112413064
YIL133C,RPL16A,35233.7870993569
YLR406C,RPL31B,35180.6563258283
YJR094W-A,RPL43B,34846.3402159477
YJL191W,RPS14B,34274.269090627
YHR141C,RPL42B,34103.6829806286
YBR181C,RPS6B,32600.7240762434
YDR500C,RPL37B,32436.1209096363
YBL087C,RPL23A,30148.7359049851
YER117W,RPL23B,25127.9299678397
YFL034C-A,RPL22B,24661.2038098997
YKR094C,RPL40B,21488.6466106214
YLR388W,RPS29A,18070.3392514215
YIL148W,RPL40A,10587.8409704431
YMR121C,RPL15B,5091.88586079238
