Sample,Biological replicate,Time after arrest and release (minutes),Time point,% G1 in population,% S in population,% G2/M in population,Assigned cell cycle phase 
S1,1,2,0,97,3,0,G1
S2,2,2,0,89,9,2,G1
S3,3,2,0,97,3,0,G1
S4,1,5,1,95,3,2,G1
S5,2,5,1,89,11,0,G1
S6,3,5,1,95,5,0,G1
S7,1,37,2,16,82,2,S
S8,2,37,2,14,66,20,S
S9,3,37,2,8,82,10,S
S10,1,40,3,9,83,8,S
S11,2,40,3,3,57,40,S
S12,3,40,3,11,65,24,S
S13,1,60,4,6,28,66,G2/M
S14,2,60,4,20,4,76,G2/M
S15,3,60,4,20,4,76,G2/M
S16,1,68,5,7,9,84,G2/M
S17,2,68,5,22,12,66,G2/M
S18,3,68,5,32,18,50,G2/M
S19,1,93,6,71,9,20,G1
S20,2,93,6,72,10,18,G1
S21,3,93,6,67,11,22,G1
S22,1,109,7,27,55,18,S
S23,2,115,7,15,53,32,S
S24,3,103,7,40,47,13,S
S25,1,138,8,15,27,58,G2/M
S26,2,138,8,24,18,58,G2/M
S27,3,138,8,35,17,48,G2/M
S28,1,158,9,81,9,10,G1
S29,2,158,9,72,4,24,G1
S30,3,158,9,73,15,12,G1
